NO,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,BZ,DE,必須 スキル,変更内容,column_12,SubNo_2023,スキルレベル_2023,チェック項目_2023,AI活用 （削除予定）,AI活用 タイプ （削除予定）,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,version,sheet,source_url
168,30,解析技術,モデル化,機械学習,★,機械学習における大域的(global)な説明（モデル単位の各変数の寄与度など）と局所的(local)な説明（予測するレコード単位の各変数の寄与度など）の違いを理解している,,,,,,30,★,機械学習における大域的(global)な説明（モデル単位の各変数の寄与度など）と局所的(local)な説明（予測するレコード単位の各変数の寄与度など）の違いを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
169,31,解析技術,モデル化,機械学習,★,ホールドアウト法、交差検証（クロスバリデーション）法の仕組みを理解し、訓練データ、パラメータチューニング用の検証データ、テストデータを作成できる,,,,,,31,★,ホールドアウト法、交差検証（クロスバリデーション）法の仕組みを理解し、訓練データ、パラメータチューニング用の検証データ、テストデータを作成できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
171,32,解析技術,モデル化,機械学習,★,機械学習モデルは、データ構成の変化(データドリフト)により学習完了後から精度が劣化していくため、運用時は精度をモニタリングする必要があることを理解している,,,,,,33,★,機械学習モデルは、データ構成の変化(データドリフト)により学習完了後から精度が劣化していくため、運用時は精度をモニタリングする必要があることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
172,33,解析技術,モデル化,機械学習,★,ニューラルネットワークの基本的な考え方を理解し、入力層、隠れ層、出力層の概要と、活性化関数の重要性を理解している,,,◯,,,42,★,ニューラルネットワークの基本的な考え方を理解し、入力層、隠れ層、出力層の概要と、活性化関数の重要性を理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
173,34,解析技術,モデル化,機械学習,★,決定木をベースとしたアンサンブル学習（Random Forest、勾配ブースティング[Gradient Boosting Decision Tree：GBDT]、 その派生形であるXGBoost、LightGBMなど）による分析を、ライブラリを使って実行でき、変数の寄与度を正しく解釈できる,,,,,,43,★,決定木をベースとしたアンサンブル学習（Random Forest、勾配ブースティング[Gradient Boosting Decision Tree：GBDT]、 その派生形であるXGBoost、LightGBMなど）による分析を、ライブラリを使って実行でき、変数の寄与度を正しく解釈できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
174,35,解析技術,モデル化,機械学習,★,連合学習では、データは共有せず、モデルのパラメータを共有して複数のモデルを統合していることを理解している,,,,,,57,★,連合学習では、データは共有せず、モデルのパラメータを共有して複数のモデルを統合していることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
175,36,解析技術,モデル化,機械学習,★,モデルの性能を改善するためには、モデルの改善よりもデータの質と量を向上させる方が効果的な場合があることを理解している,,＊,◯,,,59,★,モデルの性能を改善するためには、モデルの改善よりもデータの質と量を向上させる方が効果的な場合があることを理解している,◯,⑤企画,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
176,37,解析技術,モデル化,機械学習,★★,訓練データ、検証データ、テストデータの分割時に、データの性質や目的に応じて、時間情報や地理空間情報、様々な属性を考慮すべきか判断できる,＊,,,修正,,34,★★,訓練データ、検証データ、テストデータの分割時にデータの性質や目的に応じて、地理空間情報や様々な属性を考慮すべきか判断できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
177,38,解析技術,モデル化,機械学習,★★,予測モデルにおけるリークとは何か、それがもたらす問題について説明できる,,,,,,35,★★,予測モデルにおけるリークとは何か、それがもたらす問題について説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
178,39,解析技術,モデル化,機械学習,★★,次元の呪いの影響を受けやすいアルゴリズムを識別し対処するアプローチを実施できる（特徴量選択、次元圧縮、L1/L2正則化など）,,,,修正,,38,★★,次元の呪いの影響を受けやすいアルゴリズムを識別し対処するアプローチを知っている（特徴量選択、次元圧縮、L1/L2正則化など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
179,40,解析技術,モデル化,機械学習,★★,アノテーションにおいて、判断基準の明確化やアノテーターの精度管理を適切に実施することにより、高品質な教師付きデータを効率的に作成できる,＊,,,,,39,★★,アノテーションにおいて、判断基準の明確化やアノテーターの精度管理を適切に実施することにより、高品質な教師付きデータを効率的に作成できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
181,41,解析技術,モデル化,機械学習,★★,決定木の主要な分割基準（ジニ不純度、情報利得など）を理解し、データ特性に応じた適切なアルゴリズムを選択できる,,,,修正,,41,★★,決定木分析においてCHAID、C5.0、CARTなどのデータ分割のアルゴリズムの特徴を理解し、適切な方式を選定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
182,42,解析技術,モデル化,機械学習,★★,データに変更を加え予測モデルを故意に誤らせる敵対的サンプル（Adversarial examples）について、代表的な攻撃方法を理解している,,,,,,44,★★,データに変更を加え予測モデルを故意に誤らせる敵対的サンプル（Adversarial examples）について、代表的な攻撃方法を理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
183,43,解析技術,モデル化,機械学習,★★,生成モデルと識別モデルの違いやそれぞれのメリットと課題を理解しており、目的に応じて適切に使い分けられる,,,◯,,,46,★★,生成モデルと識別モデルの違いやそれぞれのメリットと課題を理解しており、目的に応じて適切に使い分けられる,◯,⑥技術的理解,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,44,解析技術,モデル化,機械学習,★★,尤度と変分下限（ELBO）の定義と意味を理解し、生成モデルの学習や評価において適切に使い分けることができる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
184,45,解析技術,モデル化,機械学習,★★,不均衡データ（Imbalanced data）がモデルに与える影響を理解し、サンプリングや評価/損失関数のチューニングなどを適切に対処できる,,,,,,47,★★,不均衡データ（Imbalanced data）がモデルに与える影響を理解し、サンプリングや評価/損失関数のチューニングなどを適切に対処できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,46,解析技術,モデル化,機械学習,★★,データの欠損の状況や背景を踏まえて適切なモデルを選定し、目的に応じた欠測補完方法を設計できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
185,47,解析技術,モデル化,機械学習,★★,バイアスとバリアンスの関係について、未学習や過学習の観点から説明できる,,,,,,48,★★,バイアスとバリアンスの関係について、未学習や過学習の観点から説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
186,48,解析技術,モデル化,機械学習,★★,機械学習・AIの公平性の評価指標について説明できる（デモグラフィックパリティ、均等オッズ、予測パリティ、反事実的公平性など）,＊,,,修正,,49,★★,機械学習・AIの公平性の評価指標について説明できる（デモグラフィックパリティ、均等オッズなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
187,49,解析技術,モデル化,機械学習,★★,LIME、SHAPなどExplainable AI（XAI）の手法を用いて、ブラックボックス性の高いモデルの局所的な説明（レコード単位の予測根拠の提示）ができる,,,,,,50,★★,LIME、SHAPなどExplainable AI（XAI）の手法を用いて、ブラックボックス性の高いモデルの局所的な説明（レコード単位の予測根拠の提示）ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
188,50,解析技術,モデル化,機械学習,★★,課題やデータに応じて、汎化性能向上のためのデータ拡張（Data Augmentation）を設計・実装できる（画像データの回転・反転、テキストデータの単語入れ替え・置換・削除など）,,,,,,54,★★,課題やデータに応じて、汎化性能向上のためのデータ拡張（Data Augmentation）を設計・実装できる（画像データの回転・反転、テキストデータの単語入れ替え・置換・削除など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
189,51,解析技術,モデル化,機械学習,★★,連合学習について、水平型と垂直型の違いを理解し、適切に対応方針を決定できる,,,,,,58,★★,連合学習について、水平型と垂直型の違いを理解し、適切に対応方針を決定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
190,52,解析技術,モデル化,機械学習,★★,低品質なデータ（バイアスや欠落、計測・登録の誤り、混入など）に対するデータクレンジングには限界があり、取得段階での対策が重要であることを理解している,,＊,◯,,,60,★★,低品質なデータ（バイアスや欠落、計測・登録の誤り、混入など）に対するデータクレンジングには限界があり、取得段階での対策が重要であることを理解している,◯,⑤企画,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
191,53,解析技術,モデル化,機械学習,★★,Webから収集したデータなど、大量だが不要な情報が多く混在するデータに対し、不必要もしくは不適切なデータをできる限り取り除くことで、データの品質を高めることができる,,＊,,,,61,★★,Webから収集したデータなど、大量だが不要な情報が多く混在するデータに対し、不必要もしくは不適切なデータをできる限り取り除くことで、データの品質を高めることができる,◯,⑤企画,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
192,54,解析技術,モデル化,機械学習,★★★,データと分析要件から、データ分布やモデル精度のモニタリング設計・実施と、劣化が見込まれるモデルに対するリモデルの設計ができる,,＊,,,,37,★★★,データと分析要件から、データ分布やモデル精度のモニタリング設計・実施と、劣化が見込まれるモデルに対するリモデルの設計ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
193,55,解析技術,モデル化,機械学習,★★★,リークの発生の有無を適切に判断し、対応できる（マスタデータが更新されており、本来予測時に使用できない未来の情報を含んでしまうパターン、本来は未知である評価データも含めて標準化するパターンなど）,＊,,,,,36,★★★,リークの発生の有無を適切に判断し、対応できる（マスタデータが更新されており、本来予測時に使用できない未来の情報を含んでしまうパターン、本来は未知である評価データも含めて標準化するパターンなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
194,56,解析技術,モデル化,機械学習,★★★,最新の研究に基づき敵対的サンプル（Adversarial examples）に対する現実的な対策を検討できる,,,,,,45,★★★,最新の研究に基づき敵対的サンプル（Adversarial examples）に対する現実的な対策を検討できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
195,57,解析技術,モデル化,機械学習,★★★,分析要件に応じ、モデリング手法（線形モデル、決定木、サポートベクターマシン、ニューラルネットワーク、アンサンブル学習など）の選択とパラメータ設定、結果の評価、チューニングを適切に設計・実施・指示できる,,,◯,,,51,★★★,分析要件に応じ、モデリング手法（線形モデル、決定木、サポートベクターマシン、ニューラルネットワーク、アンサンブル学習など）の選択とパラメータ設定、結果の評価、チューニングを適切に設計・実施・指示できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
196,58,解析技術,モデル化,機械学習,★★★,複数の機械学習モデルを組み合わせるアンサンブル学習において、各モデルの予測スコアを用いた平均（Averaging）、多数決（Voting）、Stackingなどの手法を理解し、目的に応じて設計・実装できる,,＊,,,,52,★★★,複数の機械学習モデルを組み合わせるアンサンブル学習において、各モデルの予測スコアを用いた平均（Averaging）、多数決（Voting）、Stackingなどの手法を理解し、目的に応じて設計・実装できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
197,59,解析技術,モデル化,機械学習,★★★,半教師あり学習やアクティブラーニングにより効率的なアノテーションができる,＊,,,,,53,★★★,半教師あり学習やアクティブラーニングにより効率的なアノテーションができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
198,60,解析技術,モデル化,機械学習,★★★,機械学習等の最新の論文を理解し、必要とあれば自分で実装し評価できる,,＊,,,,55,★★★,機械学習等の最新の論文を理解し、必要とあれば自分で実装し評価できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
200,61,解析技術,モデル化,機械学習,★★★,分析目的を達成するためにどの水準でデータ品質を確保する必要があるかを判断し、取得段階における品質対策ガイドラインを設計できる,,,,,,62,★★★,分析目的を達成するためにどの水準でデータ品質を確保する必要があるかを判断し、取得段階における品質対策ガイドラインを設計できる,◯,⑨推進課題対応,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
201,62,解析技術,モデル化,深層学習,★,深層学習（ディープラーニング）モデルの活用による主なメリットを理解している（特徴量抽出が可能になるなど）,,,◯,,,63,★,深層学習（ディープラーニング）モデルの活用による主なメリットを理解している（特徴量抽出が可能になるなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,63,解析技術,モデル化,深層学習,★,CNN、RNN、Transformerなど主要な深層学習アーキテクチャの特徴と用途を説明できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
202,64,解析技術,モデル化,深層学習,★,データサイエンスやAIの分野におけるモダリティの意味を説明できる（データがどのような形式や方法で得られるか、など）,,,,,,76,★,データサイエンスやAIの分野におけるモダリティの意味を説明できる（データがどのような形式や方法で得られるか、など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
203,65,解析技術,モデル化,深層学習,★★,バッチ勾配降下法（バッチ学習）、確率的勾配降下法（オンライン学習）、ミニバッチ勾配降下法（ミニバッチ学習）の違いを説明できる,,,,,,64,★★,バッチ勾配降下法（バッチ学習）、確率的勾配降下法（オンライン学習）、ミニバッチ勾配降下法（ミニバッチ学習）の違いを説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
204,66,解析技術,モデル化,深層学習,★★,ドロップアウト、L1/L2正則化などによる過学習の抑制や、バッチ正規化による学習の効率化について理解している,,,,,,65,★★,ドロップアウト、L1/L2正則化などによる過学習の抑制や、バッチ正規化による学習の効率化について理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
205,67,解析技術,モデル化,深層学習,★★,文字や単語といった質的（離散的）な特徴量をニューラルネットワークで学習する場合、特徴量の各値にベクトルを対応させるEmbedding層が有効であることを理解している,,,,修正,,66,★★,文字や単語といった質的（離散的）な特徴量をニューラルネットワークで学習する場合、特徴量の各値にベクトルを対応させるEmbeddingが有効であることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
206,68,解析技術,モデル化,深層学習,★★,畳み込みニューラルネットワーク(CNN)、再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformer（Attention機構）などの深層学習の主要方式の特徴を理解し、目的に応じて適切に選定できる,,,,2023年の207と統合（再確認必要）,,67,★★,畳み込みニューラルネットワーク(CNN)、再帰型ニューラルネットワーク（RNN）、長期短期記憶（LSTM）、Transformerなどの深層学習の主要方式の特徴を理解し、目的に応じて適切に選定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
208,69,解析技術,モデル化,深層学習,★★,転移学習とファインチューニングの基本的な枠組みを理解し、事前学習済みのニューラルネットワークを用いた効率的な学習方法を設計・実装できる,,＊,,,,69,★★,転移学習とファインチューニングの基本的な枠組みを理解し、事前学習済みのニューラルネットワークを用いた効率的な学習方法を設計・実装できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
209,70,解析技術,モデル化,深層学習,★★,誤差逆伝播法（Backpropagation）における勾配消失、勾配爆発の問題を理解し、適切な活性化関数・重みの初期化方法の選択、Gradient Clippingなどの緩和策を実施できる,,,,,,70,★★,誤差逆伝播法（Backpropagation）における勾配消失、勾配爆発の問題を理解し、適切な活性化関数・重みの初期化方法の選択、Gradient Clippingなどの緩和策を実施できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
210,71,解析技術,モデル化,深層学習,★★,Residual Connection(Skip Connection)が誤差逆伝播法（Backpropagation）における勾配消失問題の緩和策となっていることを理解している,,,,,,71,★★,Residual Connection(Skip Connection)が誤差逆伝播法（Backpropagation）における勾配消失問題の緩和策となっていることを理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
211,72,解析技術,モデル化,深層学習,★★,深層学習における最適化法/Optimizer（SGD、Adam、AdamWなど）や学習率の動的な調整法（Warmup、Cosine Annealingなど）の重要性について理解している,,,,修正,,72,★★,深層学習における最適化法/Optimizer（SGD、Momentum、RMSProp、Adamなど）や学習率の動的な調整法（Cyclical Learning Rateなど）の重要性について理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,73,解析技術,モデル化,深層学習,★★,深層学習モデルにおいて、データ量・パラメータ数・計算量を拡大することで損失がべき乗則（Scaling Law）に従って減少する特性を理解し、モデル規模や学習リソースの設計・改善に活用できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
212,74,解析技術,モデル化,深層学習,★★,主要な深層生成モデル（拡散モデル、変分自己符号化器[Variational AutoEncoder： VAE]、敵対的生成ネットワーク[Generative Adversarial Network：GAN]）やその派生形を理解し、目的に応じて学習・評価できる,,,,,,75,★★,主要な深層生成モデル（拡散モデル、変分自己符号化器[Variational AutoEncoder： VAE]、敵対的生成ネットワーク[Generative Adversarial Network：GAN]）やその派生形を理解し、目的に応じて学習・評価できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
214,75,解析技術,モデル化,深層学習,★★★,深層学習モデルの性能・安定性・効率性を最適化するため、層構成やハイパーパラメータを理解し、目的に応じてチューニングできる,,,,修正,,73,★★★,深層学習の実装において、予想精度を向上するため、層の種類（全結合、畳み込み、プール、LSTM、GRU、Attention機構など）、層数、ニューロン数、活性化関数、学習率、学習回数などをチューニングできる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
215,76,解析技術,モデル化,深層学習,★★★,深層学習モデルの推論時の計算コストを削減する方法（枝刈り、蒸留、量子化など）を設計・実装できる,,,,,,74,★★★,深層学習モデルの推論時の計算コストを削減する方法（枝刈り、蒸留、量子化など）を設計・実装できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,77,解析技術,モデル化,強化学習,★,強化学習の基本概念（マルコフ決定過程（状態、行動、報酬）や方策など）を、特定のタスク（例：ゲーム、ロボット制御）の文脈に当てはめて説明できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
180,78,解析技術,モデル化,強化学習,★,教師あり学習と強化学習の違いを、前提、定義、応用先といった観点で説明できる,,,,サブカテゴリ修正、★★→★変更,,40,★★,教師あり学習と強化学習の違いを、前提、定義、応用先といった観点で説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
217,79,解析技術,モデル化,強化学習,★★,強化学習の基本的な手法を理解し、方策勾配やQ学習などをベースとした学習を実行できる,,,,修正,,79,★★,状態と行動、報酬による強化学習の基本概念を理解し、モンテカルロ法やQ学習などを実行できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,80,解析技術,モデル化,強化学習,★★,模倣学習（Imitation Learning）や逆強化学習（Inverse Reinforcement Learning）といった手法を適用し、熟練者のデモンストレーションデータから暗黙知や複雑な行動パターンを定量的に抽出・学習できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,81,解析技術,モデル化,強化学習,★★,オフライン強化学習を用いて、過去のデータセットから世界モデルを構築し、合成データ生成やシミュレーション環境として利用することで安全性を担保した頑健（ロバスト）な方策に改善できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
218,82,解析技術,モデル化,強化学習,★★★,主要な強化学習モデルを理解し、目的に応じて学習・評価できる(Deep Q-network [DQN]、Asynchronous Advantage Actor-Critic[A3C]、Proximal Policy Optimization [PPO]やその派生形など）,,,,,,80,★★★,主要な強化学習モデルを理解し、目的に応じて学習・評価できる(Deep Q-network [DQN]、Asynchronous Advantage Actor-Critic[A3C]、Proximal Policy Optimization [PPO]やその派生形など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
73,83,解析技術,モデル化,時系列分析,★,時系列データとは何か、その基礎的な扱いについて説明できる（時系列グラフによる周期性やトレンドの確認、移動平均、回帰や相関計算における注意点など）,＊,,◯,カテゴリ、サブカテゴリ修正,,13,★,時系列データとは何か、その基礎的な扱いについて説明できる（時系列グラフによる周期性やトレンドの確認、移動平均、回帰や相関計算における注意点など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
170,84,解析技術,モデル化,時系列分析,★,時系列データの場合は、時間軸で訓練データとテストデータに分割する理由を理解している,,,,サブカテゴリ修正,,32,★,時系列データの場合は、時間軸で訓練データとテストデータに分割する理由を理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
219,85,解析技術,モデル化,時系列分析,★,時系列分析を行う際にもつべき視点を理解している（長期トレンド、季節成分、周期性、ノイズ、定常性など）,,,,,,81,★,時系列分析を行う際にもつべき視点を理解している（長期トレンド、季節成分、周期性、ノイズ、定常性など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
220,86,解析技術,モデル化,時系列分析,★★,時系列データの時点間での関係を、自己相関やコレログラムを利用して評価ができる,,,,,,82,★★,時系列データの時点間での関係を、自己相関やコレログラムを利用して評価ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
221,87,解析技術,モデル化,時系列分析,★★,時系列データに対し、ライブラリを使用して分析結果を比較し、適切なモデルを選択できる（時系列基盤モデル、ARIMA、SARIMA、VAR、GARCH、Prophet、RNN、Transformerなど）,,,,修正,,83,★★,時系列データに対し、ライブラリを使用して、分析結果の比較を行い、適切なモデルを選択できる（自己回帰モデル[AR]、移動平均モデル[MA]、ARIMA、SARIMA、VAR、GARCH、Prophet、指数平滑法など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
222,88,解析技術,モデル化,時系列分析,★★,グレンジャー因果などの手法を用い、時系列データにおける変数間の因果関係を把握できる,,,,,,84,★★,グレンジャー因果などの手法を用い、時系列データにおける変数間の因果関係を把握できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
223,89,解析技術,モデル化,時系列分析,★★,高速フーリエ変換（Fast Fourier Transform: FFT）などを用いてピリオドグラムの計算量を抑制できる,,,,,,85,★★,高速フーリエ変換（Fast Fourier Transform: FFT）などを用いてピリオドグラムの計算量を抑制できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
224,90,解析技術,モデル化,時系列分析,★★,時系列データにおける欠測値の補完を、統計的手法（線形補間、移動平均）や状態空間モデル（カルマンフィルタ、HMM）を用いて適切に実行できる,,,,2023年の225と統合,,86,★★,時系列データにおいて、前埋め/線形補完/移動平均などの手法を用い欠測値の補完を行うことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
226,91,解析技術,モデル化,時系列分析,★★★,非線形・非ガウス型状態空間モデルにおいて、モンテカルロ・フィルタを用いて、複雑な時系列システムの予測モデルを構築できる,,,,,,88,★★★,非線形・非ガウス型状態空間モデルにおいて、モンテカルロ・フィルタを用いて、複雑な時系列システムの予測モデルを構築できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
227,92,解析技術,モデル化,クラスタリング,★,教師なし学習のグループ化（クラスター分析）と教師あり学習の分類（判別）モデルの違いを説明できる,,,,,,89,★,教師なし学習のグループ化（クラスター分析）と教師あり学習の分類（判別）モデルの違いを説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
228,93,解析技術,モデル化,クラスタリング,★,階層クラスタリングと非階層クラスタリングの違い、ソフトクラスタリングとハードクラスタリングの違いを説明できる,,,,修正,,90,★,階層クラスター分析と非階層クラスター分析の違いを説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
229,94,解析技術,モデル化,クラスタリング,★,階層クラスター分析において、デンドログラムの見方を理解し、適切に解釈できる,＊,,,,,91,★,階層クラスター分析において、デンドログラムの見方を理解し、適切に解釈できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
